label,n1
"I,IST OF OUR D^AD IN NORTH AMERICA From May to October",1899
Fr. Ivouisjouin 81 June,10
"Fr, Michael J. Hughes 44 June",15
Fr. John F. Galligan 41 July,2
Mr. Joseph A. Phelan 31 July,7
Fr. Patrick A. Jordan 71 July,17
Br. Joseph Kreitzer 58 July,27
Fr. Frederick A. Hatke 33 Aug,2
Br. Aloysius Schmidt 59 Aug,26
Br. Charles Boemecke 71 Aug,17
Br. Caspar Heinrichs 47 Sep,7
Br. John Siebers 86 Sep,9
Fr. Arthur J. McAvoy 45 Sep,28
Mr. Aloysius Bourgeois 28 0€t,13
Fr. William F. Hamilton 62 0(5l,23
Mr. Michael S. Corbett 24 0<5l,31
