label,n1,n2
Baltimore. College _ -,1,87
High School _ -. _,1,362
Brooklyn College _,1,704
High School _ _ _,1,667
Georgetown College,1,547
Preparatory School,1,80
St. Peter'* College _ _,1,690
"Fordham, Graduate School _ „",1,30
College _,1,712
High School - _,1,493
"Xavier High School, New York __",1,854
"Grammar School, New York..-",1,100
"Loyola School, New York _",1,45
"Regis High School, New York „",1,490
"St. Joseph's College, Philadelphia, Pa - _",1,106
"High School, Philadelphia, Pa",1,608
"Gonzaga College, Washington, D. C _",1,244
Boston College,1,921
High School _,1,1450
"Holy Cross College, Worcester, Mass _ _",1,938
"Xaverian Bros. Prep. School, Danvers, Mass",1,390
"Canterbury School, New Milford, Conn., boys „",1,64
"Wellesley Hills. Mass., boys _",1,113
