label,n1,n2
New Orleans,077
Loyola,84
Shreveport,95
Spring Hill,258
Tampa,130
California,2642
Los Angeles,503
Missoula,54
San Francisco,673
Sta. Clara,316
Seattle,210
Spokane,574
Tacoma,102
Yakima,210
Canada,1865
Edmonton,147
St. Mary's,748
Loyola,366
Regina,122
St. Boniface,307
Sudbury,175
Total sTZrirr.T,2654,5
S24,941
"1 — Includin.^ 6 postgraduates: 2 — including 612 in extension courses; 3 — including 18 postgraduates; 4 — registration for 1923; 5 — including 8 postgraduates; 6 — including 45 in university law course; 7 — including 33 in commercial and science; 8 — including 52 pcstgraduatop. ; 9 — including 20 haU-boarders ; 10 — including 30 in commercijil and 29 in science : * — including 4 postgraduntes ; x — after making allowance for omis- sion of Industrial School at Spanish, Out., this augment agrees with that obtained by comparing the above student total with that of",1923
October,10,1924
Maryland-N.Y,2567
Georgetown,933
Missouri,1252
Chicago,222
Cincinnati,72
Detroit,253
Milwaukee,315
Omaha,180
St. Louis,210
New Orleans,280
New Orleans,280
